Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
,"    Goffstown","    147.1350",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Salem","    147.1650",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Derry","    147.2100",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Pembroke","    147.2250",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Moultonborough","    147.2550",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Claremont","    147.2850",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Franklin, Veterans Memorial Recreation Area","    147.3000",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Manchester","    147.3300",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Gilsum","    147.3600",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    New Boston, Chestnut Hill","    147.3750",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Moultonborough, Red Hill","    147.3900",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Claremont","    147.4200",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
